Product Name,Type,Brand,Is Anti-Biotic,Description,Meta Description,Keywords,Manufacturer,Product Cold Chain,Tags,Base Unit Label,Average Rating,MRP
Ceevit,medicine,Square Pharmaceuticals PLC.,0,,,,Square Pharmaceuticals Ltd.,0,['everyday_essentials'],Tablet,0,1.9
Napa ,medicine,Beximco Pharmaceuticals Ltd.,0,,"Napa 500mg tablet (নাপা ৫০০ মি.গ্রা. ট্যাবলেট) relieves fever, cold, flu, headaches, bodyaches, muscle & period pain, sprains, back pain, post-op, postpartum, inflammatory, & eases joint pain.",,Beximco Pharmaceuticals Ltd.,0,"['everyday_essentials', 'OTC', 'b2b']",Tablet,0,1.2
Sergel 20,medicine,Healthcare Pharmaceuticals Ltd.,0,,Sergel 20 mg Capsule (সারজেল ২০ মি.গ্রা. ক্যাপসুল) effectively treats acid reflux and related conditions. Discover its benefits and potential side effects for better gastrointestinal health.,,Healthcare Pharmaceuticals Ltd.,0,['b2b'],Capsule,0,7
Ecosprin 75,medicine,The ACME Laboratories Ltd.,0,,"Ecosprin 75 mg Tablet is the analgesic of choice for headaches, transient musculoskeletal pain and dysmenorrhoea. Find ecosprin 75 uses, side effect price in Bangladesh",,The ACME Laboratories Ltd.,0,['chronic disease'],Tablet,0,0.8
Monas 10,medicine,The ACME Laboratories Ltd.,0,,"Monas 10 mg tablet (মোনাস ১০ মি.গ্রা. ট্যাবলেট) is commonly used to treat asthma or allergic rhinitis. Learn about its uses, potential side effects, and benefits for informed and effective treatment.",,The ACME Laboratories Ltd.,0,"['monas 10', 'b2b', 'chronic disease']",Tablet,0,17.5
Orsaline N,medicine,SMC Enterprise Limited,0,,,,SMC Enterprise Limited,0,['everyday_essentials'],Powder,0,6
Pantonix 20,medicine,Incepta Pharmaceuticals Ltd.,0,,"Pantonix 20 mg tablet is a medicine used to reduce acid production in the stomach. Find out its uses, potential side effects, and how it can enhance your overall well-being.",,Incepta Pharmaceuticals Ltd.,0,[],Tablet,0,7
Napa Extend,medicine,Beximco Pharmaceuticals Ltd.,0,,Experience extended relief from pain and fever with Napa Extend 665 mg tablets (নাপা এক্সটেন্ড ৬৬৫ মি.গ্রা. ট্যাবলেট). Designed for lasting comfort. Find out more about its benefits and potential side effects.,,Beximco Pharmaceuticals Ltd.,0,"['OTC', 'b2b']",Tablet,0,2
Fexo 120,medicine,Square Pharmaceuticals PLC.,0,,Manage allergy symptoms effectively with Fexo 120 mg Tablet (ফেক্সো ১২০ মি.গ্রা. ট্যাবলেট). Learn about benefits and side effects. Buy now for the best price and fastest delivery at Arogga!,,Square Pharmaceuticals Ltd.,0,[],Tablet,0,9
Thyrox 50 ,medicine,Renata Limited,0,,"Thyrox 50 mcg tablet (থাইরক্স ৫০ এম সি জি  ট্যাবলেট) is a medicine used to treat an underactive thyroid gland (hypothyroidism). Learn about its uses, potential side effects, and its ability to enhance your overall health condition.",,Renata Limited,0,['chronic disease'],Tablet,0,2.2
